param_n_seed_infections,stat_final_susceptible,stat_final_infectious,stat_final_recovered,stat_final_deaths,stat_total_infected,stat_total_deaths,stat_attack_rate,stat_case_fatality_rate,stat_peak_infections,metric_days_to_peak,simulation_id,execution_time
5,485,0,506,0,515,0,0.515,0.0,258,33,0,0.54825758934021
10,180,0,818,0,820,0,0.82,0.0,346,28,1,0.7237348556518555
